id;name;type;life;peer_id;peer_name;misc;zvalue;geom
914;P914;MAXIMUM;1.640000;913;P913;"name:P914|type:MAXIMUM|life:1.640000|pair-type:H1|paired-to:P913|z:2455.000000";2455.000000;"POINT (640787.500000 141487.500000)"
915;P915;MINIMUM;3.000000;916;P916;"name:P915|type:MINIMUM|life:3.000000|pair-type:H0|paired-to:P916|z:2454.000000";2454.000000;"POINT (640612.500000 141537.500000)"
916;P916;SADDLE;3.000000;915;P915;"name:P916|type:SADDLE|life:3.000000|pair-type:H0|paired-to:P915|z:2457.000000";2457.000000;"POINT (640612.500000 141512.500000)"
917;P917;MINIMUM;0.360000;918;P918;"name:P917|type:MINIMUM|life:0.360000|pair-type:H0|paired-to:P918|z:2454.000000";2454.000000;"POINT (649212.500000 146437.500000)"
918;P918;SADDLE;0.360000;917;P917;"name:P918|type:SADDLE|life:0.360000|pair-type:H0|paired-to:P917|z:2454.360107";2454.360107;"POINT (649187.500000 146412.500000)"
919;P919;MINIMUM;1.640000;920;P920;"name:P919|type:MINIMUM|life:1.640000|pair-type:H0|paired-to:P920|z:2454.000000";2454.000000;"POINT (649362.500000 146787.500000)"
920;P920;SADDLE;1.640000;919;P919;"name:P920|type:SADDLE|life:1.640000|pair-type:H0|paired-to:P919|z:2455.639893";2455.639893;"POINT (649387.500000 146762.500000)"
921;P921;SADDLE;7.000000;922;P922;"name:P921|type:SADDLE|life:7.000000|pair-type:H1|paired-to:P922|z:2454.000000";2454.000000;"POINT (639062.500000 156312.500000)"
922;P922;MAXIMUM;7.000000;921;P921;"name:P922|type:MAXIMUM|life:7.000000|pair-type:H1|paired-to:P921|z:2461.000000";2461.000000;"POINT (639037.500000 156362.500000)"
923;P923;SADDLE;0.991000;924;P924;"name:P923|type:SADDLE|life:0.991000|pair-type:H1|paired-to:P924|z:2454.009033";2454.009033;"POINT (649287.500000 146512.500000)"
924;P924;MAXIMUM;0.991000;923;P923;"name:P924|type:MAXIMUM|life:0.991000|pair-type:H1|paired-to:P923|z:2455.000000";2455.000000;"POINT (649287.500000 146487.500000)"
925;P925;SADDLE;1.640000;926;P926;"name:P925|type:SADDLE|life:1.640000|pair-type:H1|paired-to:P926|z:2455.360107";2455.360107;"POINT (649237.500000 146437.500000)"
926;P926;MAXIMUM;1.640000;925;P925;"name:P926|type:MAXIMUM|life:1.640000|pair-type:H1|paired-to:P925|z:2457.000000";2457.000000;"POINT (649212.500000 146412.500000)"
927;P927;MINIMUM;3.640000;928;P928;"name:P927|type:MINIMUM|life:3.640000|pair-type:H0|paired-to:P928|z:2456.000000";2456.000000;"POINT (640587.500000 141587.500000)"
928;P928;SADDLE;3.640000;927;P927;"name:P928|type:SADDLE|life:3.640000|pair-type:H0|paired-to:P927|z:2459.639893";2459.639893;"POINT (640612.500000 141562.500000)"
